documento,pagina,riga,sezione,capitolo,piano_gestionale,voce,anno,importo_mln
cdp2017,29,11,fonti,7493,,Riduzione tasso cofinanziamento nazionale,2020,133.0
cdp2017,29,11,fonti,7493,,Riduzione tasso cofinanziamento nazionale,2021,135.0
cdp2017,29,12,fonti,8000,,Fondo Sviluppo e Coesione,2017,236.79
cdp2017,29,12,fonti,8000,,Fondo Sviluppo e Coesione,2018,136.9
cdp2017,29,12,fonti,8000,,Fondo Sviluppo e Coesione,2019,141.0
cdp2017,29,12,fonti,8000,,Fondo Sviluppo e Coesione,2020,100.0
cdp2017,29,12,fonti,8000,,Fondo Sviluppo e Coesione,2021,
cdp2017,29,13,fonti,8000,,Fondo Sviluppo e Coesione 2014-2020,2017,40.3
cdp2017,29,13,fonti,8000,,Fondo Sviluppo e Coesione 2014-2020,2018,87.38
cdp2017,29,13,fonti,8000,,Fondo Sviluppo e Coesione 2014-2020,2019,160.8
cdp2017,29,13,fonti,8000,,Fondo Sviluppo e Coesione 2014-2020,2020,275.2
cdp2017,29,13,fonti,8000,,Fondo Sviluppo e Coesione 2014-2020,2021,443.8
cdp2017,29,14,fonti,,,MIT (15+16+17+18+19+20+21+22),2017,617.22
cdp2017,29,14,fonti,,,MIT (15+16+17+18+19+20+21+22),2018,764.0
cdp2017,29,14,fonti,,,MIT (15+16+17+18+19+20+21+22),2019,447.0
cdp2017,29,14,fonti,,,MIT (15+16+17+18+19+20+21+22),2020,235.0
cdp2017,29,14,fonti,,,MIT (15+16+17+18+19+20+21+22),2021,377.0
cdp2017,29,15,fonti,7060,,Legge Obiettivo,2017,249.92
cdp2017,29,15,fonti,7060,,Legge Obiettivo,2018,107.0
cdp2017,29,15,fonti,7060,,Legge Obiettivo,2019,109.0
cdp2017,29,15,fonti,7060,,Legge Obiettivo,2020,
cdp2017,29,15,fonti,7060,,Legge Obiettivo,2021,
cdp2017,29,16,fonti,7515,,Fondo infrastrutture ferroviarie e stradali - Linea AV/AC Treviglio-Brescia,2017,129.52
cdp2017,29,16,fonti,7515,,Fondo infrastrutture ferroviarie e stradali - Linea AV/AC Treviglio-Brescia,2018,30.0
cdp2017,29,16,fonti,7515,,Fondo infrastrutture ferroviarie e stradali - Linea AV/AC Treviglio-Brescia,2019,61.0
cdp2017,29,16,fonti,7515,,Fondo infrastrutture ferroviarie e stradali - Linea AV/AC Treviglio-Brescia,2020,35.0
