cup,tabella,codice_intervento,descrizione,programma,importo_mln,documento,pagina
J51H03000150141,C,,Manutenzione Straordinaria cicli fino al 2011,,-0.0,agg2025,133
J51H03000150151,C,,Acq. rimp. mat.inv. per O.L. e Prod.(BA),,0.27,cdp2017,178
J51H03000150161,C,,Acq. rimp. mat.inv. per O.L. e Prod.(BO),,0.23,cdp2017,178
J51H03000150171,C,,Acq. rimp. mat.inv. per O.L. e Prod.(MI),,0.26,cdp2017,178
J51H03000150191,C,,Acq. rimp. mat.inv. per O.L. e Prod.(FI),,0.12,cdp2017,178
J51H03000150241,C,,Acq. rimp. mat.inv. per O.L. e Prod.(GE),,0.18,cdp2017,178
J51H03000170001,A/B,0268,Collegamento ferroviario aeroporto di Venezia Collegamento ferroviario aeroporto di Venezia,"Aeroporti, accessibilità su ferro",644.0,agg2025,58
J51H03000180001,A/B,0269,Collegamento ferroviario aeroporto di Verona Collegamento ferroviario aeroporto di Verona,"Aeroporti, accessibilità su ferro",90.4,agg2025,76
J51H04000000001,C,,Sviluppo infrastrutturale e upgrading,,0.7,agg2025,138
J51H04000190001,C,,Sistema di Controllo Marcia Treno (SCMT)-realizzazione sottosistema di terra (SST) - DTP Reggio Calabria,,94.0,agg2021,127
J51H92000010021,C,,Manutenzione Straordinaria cicli fino al 2011,,-0.0,agg2025,133
J51H92000010031,C,,Aumento Produttività - Potenziamento - Napoli,,0.38,cdp2017,178
J51H92000010041,C,,Aumento Produttività - Potenziamento - Milano,,0.01,cdp2017,178
J51H92000010061,C,,Aumento Produttività (Potenziamento) -VR,,0.01,agg2023,37
J51H92000010071,C,,Aumento Produttività - Potenziamento - Reggio Calabria,,1.82,cdp2017,178
J51H92000010081,C,,Aumento Produttività - Potenziamento - Venezia,,-0.07,agg2021,126
J51H92000010091,C,,Manutenzione Straordinaria cicli fino al 2011,,-0.0,agg2025,133
J51H92000010131,C,,Aumento Produttività (Potenziamento) -TS,,0.01,agg2023,37
J51H92000010141,C,,Aumento Produttività Officine Nazionali,,0.65,cdp2017,180
J51H92000010171,C,,Manutenzione Straordinaria cicli fino al 2011,,-0.0,agg2025,133
J51H92000010181,C,,Manutenzione Straordinaria cicli fino al 2011,,0.0,agg2025,133
J51H92000010191,C,,Manutenzione Straordinaria cicli fino al 2011,,0.0,agg2025,133
J51H92000010201,C,,Manutenzione Straordinaria cicli fino al 2011,,-0.0,agg2025,133
J51H92000020001,C,,Aumento Produttività M.E.AN,,14.84,cdp2017,178
J51H92000020011,C,,Aumento Produttività M.E.NA,,12.35,cdp2017,178
J51H92000020021,C,,Aumento Produttività MI,,26.61,cdp2017,178
J51H92000020031,C,,Aumento Produttività Zone I.E. - ante 2011,,0.19,agg2021,126
J51H92000020041,C,,Aum. Produtt. Sett. Arm.Op.Civ.(M.E.) - ante 2011,,0.02,agg2021,126
J51H92000020051,C,,Manutenzione Straordinaria cicli fino al 2011,,-0.01,agg2025,133
J51H92000020091,C,,Aumento Produttività TO,,18.73,cdp2017,178
J51H92000020141,C,,Manutenzione Straordinaria cicli fino al 2011,,-0.0,agg2025,133
J51H92000020151,C,,Aumento Produttività CA,,1.51,cdp2017,178
J51H92000020161,C,,Aumento Produttività M.E.RM,,14.28,cdp2017,178
J51H92000020211,C,,Manutenzione Straordinaria cicli fino al 2011,,0.0,agg2025,133
J51H92000020231,C,,Aumento Produttività TS,,9.04,cdp2017,178
J51H92000020251,C,,Aumento Produttività VE,,13.26,cdp2017,178
J51H92000020261,C,,Aumento Produttività GE,,9.87,cdp2017,178
J51H92000020271,C,,Aumento Produttività PA,,5.96,cdp2017,178
J51H92000020281,C,,Aumento Produttività M.E.RC,,10.59,cdp2017,178
J51H92000020301,C,,Aumento Produttività VR,,13.64,cdp2017,178
J51H92000020351,C,,"Aumento Produttività Settore ""Armam.""BO",,22.36,cdp2017,178
