cup,tabella,codice_intervento,descrizione,programma,importo_mln,documento,pagina
J17E91000000231,C,,Miglioramenti infrastrutturali M.E.- TS - ante 2011,,0.02,agg2021,127
J17E91000000281,C,,Miglioramento infrastrutturale Provincia di Trento,,77.83,cdp2017,180
J17E92000000001,C,,Miglioramenti infrastrutturali M.E.- PA,,1.13,cdp2017,176
J17E99000010001,C,,Manut.Straord.Opere Dif.Infr.M.E.AN,,28.41,cdp2017,176
J17E99000010011,C,,Manut.Straord.Opere Dif.Infr. NA,,75.58,cdp2017,176
J17E99000010027,C,,Manut.Straord.Opere Dif.Infr. PA,,73.14,cdp2017,176
J17E99000010032,C,,Manut.Straord.Opere Dif.Infr.M.E.RC,,105.86,cdp2017,176
J17E99000010041,C,,Manut.Straord.Opere Dif.Infr.M.E.RM,,77.23,cdp2017,176
J17E99000010057,C,,Manut.Straord.Opere Dif.Infr.CA,,11.98,cdp2017,176
J17E99000010061,C,,Manut.Straord.Opere Dif.Infr.VE,,40.68,cdp2017,176
J17E99000010071,C,,Manut.Straord.Opere Dif.Infr.BA,,52.86,cdp2017,176
J17E99000010081,C,,Manut.Straord.Opere Dif.Infr.M.E.FI,,71.15,cdp2017,177
J17E99000010091,C,,Manutenzione straordinaria e Opere a difesa dell'infrastruttura Reggio Calabria,,0.16,cdp2017,177
J17E99000010101,C,,Manut.Straord.Opere Dif.Infr.M.E.GE,,35.33,cdp2017,177
J17E99000010111,C,,Manut.Straord.Opere Dif.Infr.VR,,44.3,cdp2017,177
J17E99000010121,C,,Manut.Straord.Opere Dif.Infr.M.E.MI,,99.12,cdp2017,177
J17E99000010131,C,,Manutenzione straordinaria e Opere a difesa dell'infrastruttura - Mantenimento in efficienza - Napoli,,0.01,cdp2017,177
J17E99000010151,C,,Manut.Straord.Opere Dif.Infr.M.E.TO,,34.76,cdp2017,177
J17E99000010171,C,,Manutenzione Straordinaria cicli fino al 2011,,-0.0,agg2025,130
J17E99000010181,C,,Manut.Straord.Opere Dif.Infr.TS,,30.84,cdp2017,177
J17E99000010191,C,,Manut.Straord.Opere Dif.Infr.M.E.BO,,50.55,cdp2017,177
J17E99000010211,C,,Manutenzione Straordinaria cicli fino al 2011,,-0.02,agg2025,131
J17E99000010221,C,,Man.Str.Op.Dif.Infr.SettoreArm.eOp.Civ.,,5.29,cdp2017,177
J17E99000010231,C,,M.Str.e Opere Dif.Infr. Sett. Tecnologie,,0.14,cdp2017,177
J17E99000010291,C,,Man.Str.Op.Dif.Infr.SettoreLogistica - ante 2011,,-0.83,agg2021,126
J17E99000020007,C,,Obblighi di legge - PA,,2.12,cdp2017,177
J17E99000020017,C,,Obblighi di legge - RC,,4.9,cdp2017,177
J17E99000020021,C,,Obblighi legge - RM,,4.14,cdp2017,177
J17E99000020031,C,,Obblighi di legge -CA,,0.61,cdp2017,177
J17E99000020041,C,,Obblighi di legge VE,,1.61,cdp2017,177
J17E99000020051,C,,Obblighi di legge - NA,,3.53,cdp2017,177
J17E99000020061,C,,Obbighi di legge - AN,,1.48,cdp2017,177
J17E99000020071,C,,Obblighi di legge - BO,,1.15,cdp2017,177
J17E99000020081,C,,Obblighi di legge -FI,,3.33,cdp2017,177
J17E99000020091,C,,Obblighi di legge -VR,,2.29,cdp2017,177
J17E99000020101,C,,Manutenzione Straordinaria cicli fino al 2011,,-0.02,agg2025,131
J17E99000020131,C,,Obblighi di legge - MI,,4.15,cdp2017,177
J17E99000020181,C,,"Obblighi di legge settore ""officine""-DG",,2.11,cdp2017,180
J17E99000020191,C,,Obblighi di legge - GE,,0.7,cdp2017,177
J17E99000020221,C,,Obblighi di legge - TO,,2.34,cdp2017,177
J17E99000020301,C,,"Obblighi di legge Settore ""Logistica""",,0.23,cdp2017,177
J17E99000020331,C,,Obbighi di legge - BA,,2.43,cdp2017,177
J17E99000020341,C,,Obblighi di legge - TS,,1.31,cdp2017,177
J17E99000020371,C,,Obblighi di legge (Tecnica),,0.35,cdp2017,177
J17E99000020381,C,,M.S. E OBBLIGHI DI LEGGE,,0.38,cdp2017,177
J17E99000020471,C,,Manutenzione Straordinaria cicli fino al 2011,,-0.0,agg2025,131
J17F19000130001,C,,Sicurezza ed Obblighi di Legge,,4.6,agg2025,135
J17F19000180001,C,,Upgrading infrastrutturale e tecnologico DOIT Venezia - 2019,,11.0,agg2024,113
J17F20000000001,C,,Sicurezza ed Obblighi di Legge,,55.0,agg2025,135
J17G20000010001,C,,Sicurezza ed Obblighi di Legge,,43.13,agg2025,135
J17I06000030001,C,,Attrezz. Tecnol. linee e imp. intera ret,,1.54,cdp2017,179
J17I08000010001,C,,Piano di sviluppo tecnologico della rete,,0.17,cdp2017,179
J17I12000000001,C,,Aumento Produttività VE - 2012,,0.08,agg2021,126
J17I12000330001,C,,Manut.Straord.Opere Dif.Infr.VE - 2012,,-0.07,agg2021,126
J17I12000340001,C,,Manutenzione Straordinaria cicli fino al 2011,,-0.0,agg2025,131
J17I12000350001,C,,Manutenzione straordinaria stazioni - VE - 2012,,0.12,agg2021,126
J17I12000360001,C,,Miglioramenti infrastrutturali M.E.-VE - 2012,,-0.01,agg2023,37
J17I12000370001,C,,Acq.a rimp.mat.inv.obl.di leg.prod.-VE - 2012,,-0.02,agg2021,126
J17I12000380001,A/B,P074,"Ammodernamento e velocizzazione itinerari Palermo- Catania-Messina, Messina-Palermo e Messina-Siracusa",Valorizzazione reti regionali,53.0,agg2025,47
J17I13000000001,C,,Manut.Straord.Opere Dif.Infr.VE - 2013,,1.0,agg2021,126
J17I13000010001,C,,Aumento Produttività VE - 2013,,0.01,agg2021,126
J17I13000050001,C,,Miglioramenti Infrastrutt. stazioni (VE) - 2012,,0.01,agg2021,127
J17J19000010001,C,,Sicurezza ed Obblighi di Legge,,33.15,agg2025,135
J19B12000040001,A/B,1674,Linea ferroviaria Potenza - Foggia - ammodernamento Ammodernamento Potenza-Foggia Fase 1: adeguamento a standard RFI e razionalizzazione impianti Ammo,Valorizzazione reti regionali,874.57,agg2025,65
J19G01000000001,A/B,I173,"Elettrificazione, velocizzazione e ammodernamento linee Salerno - Mercato S.S. - Avellino - Benevento e tratta",Valorizzazione reti regionali,211.68,agg2025,50
J19G01000000001,A/B,P245,Adeguamento e velocizzazione linea ferroviaria jonica - tratta Sibari-Melito Porto Salvo e trasversale Lamezia Terme - Catanzaro Lido Elettrificazione,Direttrici di interesse nazionale,1325.97,agg2025,72
J19G01000010001,C,,Tecnologie (Potenz. OML e OMV),,0.93,cdp2017,180
J19G02000030011,C,,"Tecnologie per la sicurezza, la circolazione e l'efficientamento",,-0.0,agg2025,141
J19G02000030021,C,,"Tecnologie per la sicurezza, la circolazione e l'efficientamento",,-0.0,agg2025,141
J21C08000000009,A/B,0331,Raddoppio linea Roma-Viterbo: tratta Cesano-Bracciano Raddoppio Cesano-Vigna di Valle PROG ITER Raddoppio Vigna di Valle-Bracciano PROG ITER,Città metropolitane,713.12,agg2025,75
J21C91000000008,A/B,A5000_3,Nodo AV di Napoli,Città metropolitane,0.0,cdp2022,54
J21G22000050001,A/B,P245,Adeguamento e velocizzazione linea ferroviaria jonica - tratta Sibari-Melito Porto Salvo e trasversale Lamezia Terme - Catanzaro Lido Elettrificazione,Direttrici di interesse nazionale,1325.97,agg2025,72
J21H02000100001,C,,Fosse da visita treno completo per manutenzione corrente rotabili - Venezia,,-0.09,agg2021,129
J21H03000110001,C,,Studio di fattibilità ammodernamento e velocizzazione Cagliari-Oristano e relazione Cagliari-Sassari,,0.45,cdp2017,181
J21H03000120001,C,,Potenziamento itinerari merci Tarvisio/Villa Opicina (comprende 1^ fase nodo di Udine),,52.22,cdp2017,180
J21H03000130001,C,,"St.modifiche,integr.e l'ottim.prog.pr.",,0.07,agg2021,129
J21H03000130011,C,,Studio di fattibilità Terzo valico dei Giovi,,0.04,agg2021,129
J21H03000140031,C,,Sicurezza ed Obblighi di Legge,,-0.0,agg2025,135
J21H03000140051,C,,"Tecnologie per la sicurezza, la circolazione e l'efficientamento",,-0.0,agg2025,141
J21H04000220001,A/B,0291,"Nuova linea AV/AC Venezia-Trieste: tratta Venezia - Ronchi dei Legionari • NCP 1: ""Intervento sospeso""",,5701.3,cdp2017,103
J21H04000220001,A/B,0365B,"Potenziamento Venezia-Trieste completamento Varianti Portugruaro, Latisana e Isonzo PROG ITER Variante Ronchi-Aurisina",Direttrici di interesse nazionale,1580.9,agg2025,79
J21H92000000001,C,,Adeguamento al traffico Merci Linea Domodossola-Luino-Novara-Ovada-Genova,,0.45,cdp2017,180
J21H98000000001,C,,Ammodernamento e velocizzazione Rete Sarda,,-0.59,agg2021,128
J21H99000010001,C,,"Tecnologie per la sicurezza, la circolazione e l'efficientamento",,-0.0,agg2025,141
J21H99000020001,C,,Fabbricati civ. e ind.(pot.posto manut.) - ante 2011,,-0.01,agg2023,37
J21H99000020041,C,,Fabbricati civili ed industriali - Reggio Calabria,,0.06,agg2021,126
J21J05000000001,A/B,0298,Nuovo collegamento PM228 - Castelplanio con by-pass di Albacina PM228-Castelplanio Lotto 1: nuovo collegamento PM228 - nuovo ITER Bivio Nord Albacina ,Direttrici di interesse nazionale,1680.25,agg2025,71
J21J05000020001,C,,"Tecnologie per la sicurezza, la circolazione e l'efficientamento",,-0.0,agg2025,141
J24C20000000009,A/B,P230,Stazione AV Foggia Cervaro Stazione AV Foggia Cervaro,Valorizzazione reti regionali,99.23,agg2025,66
J24C20002580001,C,,Sviluppo infrastrutturale e upgrading,,125.34,agg2025,138
J24D20000010001,A/B,I184,Potenziamento Padova-Castelfranco Linea Padova-Vigodarzere: raddoppio ponte sul Brenta,Valorizzazione reti regionali,48.06,agg2025,51
J24F05000010001,A/B,0313A,Velocizzazione S. Gavino-Sassari-Olbia fasi prioritarie Variante Bauladu,Direttrici di interesse nazionale,152.7,agg2025,62
J24F05000010001,A/B,0313B,"Velocizzazione S. Gavino-Sassari-Olbia completamento Varianti Bonorva-Torralba, Macomer I, Macomer II e Campomela- PROG PROG Sassari",Direttrici di interesse nazionale,666.8,agg2025,78
J24G18000030001,C,,Potenziamento tecnologico linea a monte del Vesuvio,,10.0,cdp2022,138
J24J17000020001,A/B,I173,"Elettrificazione, velocizzazione e ammodernamento linee Salerno - Mercato S.S. - Avellino - Benevento e tratta",Valorizzazione reti regionali,211.68,agg2025,50
J24J23000040008,A/B,I182,Adeguamento nodo di Brescia e potenziamento collegamento Brescia-S.Zeno-Ghedi Adeguamento nodo di Brescia e potenziamento collegamento PROG PROG Bresc,Valorizzazione reti regionali,781.53,agg2025,66
J27B14000190001,C,,"Tecnologie per la sicurezza, la circolazione e l'efficientamento",,13.36,agg2025,141
J27B16000100001,C,,"Tecnologie per la sicurezza, la circolazione e l'efficientamento",,4.39,agg2025,141
J27B16000280001,C,,Sicurezza ed Obblighi di Legge,,17.5,agg2025,135
J27B17000060001,C,,Sicurezza ed Obblighi di Legge,,45.85,agg2025,135
J27D18000000001,C,,Sicurezza ed Obblighi di Legge,,24.5,agg2025,135
J27E02000010001,C,,Sicurezza ed Obblighi di Legge,,-0.0,agg2025,135
J27F20000000001,C,,Sicurezza ed Obblighi di Legge,,25.13,agg2025,135
J27F20000070001,C,,Manut.Straord.Opere Dif.Infr.M.E.RC - anno 2020,,1.14,agg2021,127
J27I05000010001,C,,Upgrading Tecnologico Venezia-Trieste - 1^ Fase,,5.8,cdp2022,138
J27I06000060001,C,,"Tecnologie per la sicurezza, la circolazione e l'efficientamento",,-0.0,agg2025,141
J27I06000070001,C,,Migl. infrastr. linee AV/AC Napoli,,2.35,cdp2017,177
J27I10000040001,C,,Accorpamento dei Posti Centrali dei sistemi di Controllo del Traffico Centralizzato (CTC),,30.08,cdp2022,138
J27I11000790001,A/B,A5000_3,Nodo AV di Napoli,Città metropolitane,0.0,cdp2022,54
J27I12000000001,C,,Manutenzione Straordinaria cicli fino al 2011,,-0.0,agg2025,131
J27I12000060001,C,,Manut.Straord.Opere Dif.Infr.M.E.RC - 2012,,0.49,agg2021,126
J27I12000090001,C,,Fabbricati di stazione M.E. - FI - 2012,,0.98,agg2021,126
J27I12000100001,C,,Manutenzione Straordinaria cicli fino al 2011,,-0.29,agg2025,131
J27I12000120001,C,,Manutenzione Straordinaria cicli fino al 2011,,-0.0,agg2025,131
J27I12000140001,C,,Manutenzione Straordinaria cicli fino al 2011,,-0.0,agg2025,131
J27I12000150001,C,,Infrastrutture di servizio stazioni (RC) - 2012,,-0.06,cdp2022,138
J27I12000160001,A/B,P072,Upgrading e potenziamento tecnologico itinerario Napoli-Bari-Lecce/Taranto,Direttrici di interesse nazionale,499.89,cdp2022,45
J27I12000170001,A/B,P072,Upgrading e potenziamento tecnologico itinerario Napoli-Bari-Lecce/Taranto,Direttrici di interesse nazionale,499.89,cdp2022,45
J27I12000190001,A/B,P074,"Ammodernamento e velocizzazione itinerari Palermo- Catania-Messina, Messina-Palermo e Messina-Siracusa",Valorizzazione reti regionali,53.0,agg2025,47
J27I12000220001,A/B,P072,Upgrading e potenziamento tecnologico itinerario Napoli-Bari-Lecce/Taranto,Direttrici di interesse nazionale,499.89,cdp2022,45
J27I12000240001,C,,Obblighi di Legge - Stazioni - 2012,,1.7,agg2021,126
J27I13000010001,C,,Aumento Produttività M.E.RC - 2013,,-0.01,agg2021,126
J27J18000160001,C,,Upgrading linea Tirrenica sud - ulteriori interventi,,7.0,cdp2022,138
J27J19000060001,C,,Sicurezza ed Obblighi di Legge,,12.0,agg2025,135
J28F15000000001,C,,Sviluppo infrastrutturale e upgrading,,6.0,agg2025,138
J30B04000000001,C,,Realiz. compl. ETR500 diagnost. linee AV,,2.1,cdp2017,179
J31B00000240001,C,,Manutenzione Straordinaria cicli fino al 2011,,-0.0,agg2025,131
J31B00000250001,C,,Obblighi di Legge (navi),,0.49,cdp2017,177
J31B00000260001,C,,Manutenzione infrastrutture portuali,,0.29,cdp2017,177
J31B00000270001,C,,Manutenzione Straordinaria cicli fino al 2011,,-0.0,agg2025,131
J31B01000330001,C,,Manutenzione straord. navi traghetto,,7.68,cdp2017,177
J31B21002470001,A/B,P249,Collegamento ferroviario aeroporto di Olbia Collegamento ferroviario aeroporto di Olbia,"Aeroporti, accessibilità su ferro",231.04,agg2025,58
J31B92000010001,C,,Costruzione n. 3 mezzi veloci per collegamento Messina - Reggio Calabria,,0.06,agg2021,128
J31C04000010008,C,,Rete AV/AC Torino-Milano-Napoli: opere in esercizio,,0.0,agg2025,143
J31C05000010001,C,,SdF della cintura merci Sud di Milano,,0.26,cdp2017,181
J31C07000010001,C,,Messa in sicurezza cantieri delle opere propedeutiche e chiusura attività in corso,,-0.06,agg2021,128
J31C09000010001,A/B,0333,Interventi linea Chivasso-Aosta,Valorizzazione reti regionali,0.0,cdp2022,75
J31D19000000001,A/B,P227,Collegamento ferroviario aeroporto di Brindisi Collegamento ferroviario aeroporto di Brindisi,"Aeroporti, accessibilità su ferro",161.0,agg2025,58
J31H00000080001,C,,Innovazioni tecnologiche: treno diagnostico infrastruttura,,0.02,agg2021,128
J31H00000100001,C,,Acquisti-Manutenzioni Attrezz. ufficio,,0.38,cdp2017,177
J31H00000100011,C,,Acq.rimp mat inv per ob.legge.prod.manut,,15.92,cdp2017,177
J31H00000100021,C,,"Acq. mat.inv. O.L. prod.sett.""Off.""-DG",,0.5,cdp2017,177
J31H00000110001,C,,Acq mezzi prototipali per speriment. - ante 2011,,0.23,agg2021,128
J31H00000120001,C,,Acq.Rimp.mat.inv.O.L.prod.sett.diagn.-DG,,8.59,cdp2017,177
J31H00000120011,C,,Acquisti a rimpiazzo Piano Sicurezza,,0.81,cdp2017,177
J31H00000120021,C,,Acquisti a rimpiazzo Direzione Tecnica,,0.61,cdp2017,177
J31H00000130001,C,,"Tecnologie per la sicurezza, la circolazione e l'efficientamento",,-0.0,agg2025,141
J31H00000140001,C,,Studi e prototipi relativi ad armamento ed opere d'arte,,1.2,cdp2017,179
J31H00000140011,C,,Prototipi ed interventi connessi alla sicurezza di circolazione,,3.3,agg2021,128
J31H00000140021,C,,Studi e prototipi ad energia e trazione,,0.46,cdp2017,181
J31H00000150001,C,,Potenziamento e miglioramenti infrastrutturali impianti di manutenzione rotabili - Milano,,0.89,cdp2017,180
J31H00000170001,C,,Manten. Straor. Stabilimento Milano,,0.28,cdp2017,180
J31H00000170021,C,,Manutenzione Straordinaria cicli fino al 2011,,-0.0,agg2025,131
J31H00000170031,C,,Manutenzione Straordinaria cicli fino al 2011,,-0.01,agg2025,131
J31H00000170041,C,,Manten. Straor. Stabilimento Venezia - ante 2011,,-0.22,agg2021,129
J31H00000170051,C,,Manutenzione Straordinaria cicli fino al 2011,,-0.0,agg2025,131
J31H00000170061,C,,Manten. Straor. Stabilimento Roma,,2.46,cdp2017,180
J31H00000170071,C,,Manut. straord. Stabilimento di PA,,0.26,cdp2017,180
J31H00000170081,C,,Manut. straord. Stabilimento di BA,,0.15,cdp2017,180
J31H00000170091,C,,Manutenzione Straordinaria cicli fino al 2011,,-0.0,agg2025,131
J31H00000170101,C,,Manutenzione Straordinaria cicli fino al 2011,,-0.0,agg2025,131
J31H00000170111,C,,Manten. Straor. Stabilimento Torino - ante 2011,,-0.01,agg2023,37
J31H00000170121,C,,Manutenzione Straordinaria cicli fino al 2011,,-0.0,agg2025,131
J31H00000170141,C,,Manutenzione Straordinaria cicli fino al 2011,,-0.0,agg2025,131
J31H00000180011,C,,Interventi di potenziamento e razionalizzazione scali merci - Palermo,,-0.06,agg2024,113
J31H00000180021,C,,Interventi di potenziamento e razionalizzazione impianti stabilimento di Napoli,,0.85,agg2021,129
J31H00000180051,C,,Interventi di potenziamento e razionalizzazione scali merci - Reggio Calabria,,1.13,cdp2017,180
J31H00000180061,C,,Realizzazione 7° binario intermodale scalo Ferruccio,,1.29,agg2021,129
J31H00000180081,C,,Impianti industriali e terminali viaggiatori e merci,,-0.0,agg2025,139
J31H01000080001,C,,Sviluppo infrastrutturale e upgrading,,-0.0,agg2025,138
J31H01000120001,C,,Cost.unità nav. tipo Ro/Ro,,0.09,agg2021,128
J31H01000130001,C,,Impianti industriali e terminali viaggiatori e merci,,-0.0,agg2025,139
J31H01000140001,C,,Acquisti-Manutenzioni Ist. Sp. (I),,1.04,cdp2017,177
J31H01000140011,C,,Acq.a rimp.mat.inv.obl.di leg.prod.-VR,,0.06,cdp2017,177
J31H01000140021,C,,Manutenzione Straordinaria cicli fino al 2011,,-0.02,agg2025,131
J31H01000140031,C,,Acquisto materiale d'eser. Dir.Sanità,,0.32,cdp2017,177
J31H01000150001,C,,Inn. Tecn. Proc. Infras. per Imp. Elet - ante 2011,,0.05,agg2021,128
J31H01000160001,C,,Manutenzione Straordinaria cicli fino al 2011,,0.0,agg2025,132
J31H01000170001,C,,Manutenzione Straordinaria settore TE lotto A - Milano,,0.02,agg2021,126
J31H01000170011,C,,Manutenzione Strordinaria settore TE lotto C - Napoli,,0.1,cdp2017,177
J31H01000170021,C,,Manutenzione Straordinaria settore TE Lotto B - Firenze,,0.64,cdp2017,177
J31H01000180001,C,,1054-Rete radio GSM-R (1^ fase),,0.07,cdp2017,179
J31H01000200001,C,,Sicurezza ed Obblighi di Legge,,1.03,agg2025,136
J31H01000210001,C,,Aula multimed simul giuda e cf,,0.02,agg2021,128
J31H01000230001,C,,Sistema di Controllo Marcia Treno (SCMT)-Omologazione prototipo sottosistema di bordo (SSB),,92.11,agg2024,113
J31H01000250001,C,,"Tecnologie per la sicurezza, la circolazione e l'efficientamento",,-0.0,agg2025,141
J31H02000050001,C,,Impianti industriali e terminali viaggiatori e merci,,-0.0,agg2025,139
J31H02000060008,C,,Piano di attrezzaggio della rete con sistemi di telecomunicazione GSM-R,,465.21,cdp2022,138
J31H02000070001,C,,"Tecnologie per la sicurezza, la circolazione e l'efficientamento",,-0.06,agg2025,141
J31H02000080001,C,,Rete FS in fibra ottica,,-0.01,agg2023,37
J31H02000090001,C,,Misuratore velocità treno,,1.41,cdp2017,179
J31H02000100001,A/B,A1007,Piano riqualificazione grandi e medie stazioni,Città metropolitane,0.0,agg2021,27
J31H03000140001,C,,Sviluppo infrastrutturale e upgrading,,-0.23,agg2025,138
J31H03000160001,C,,Studi di fattibilità e progettazioni,,-0.0,agg2025,140
J31H03000170008,C,,Potenziamento connessioni e terminali intermodali,,-0.09,agg2021,129
J31H03000180008,A/B,0258_A,Chiusura anello ferroviario di Roma Chiusura anello di Roma lotto 1A Raddoppio Valle Aurelia - Vigna Clara Chiusura anello di Roma lotto 1B Vigna Clar,Città metropolitane,1245.79,agg2025,68
J31H03000180008,A/B,P106,Gronda merci di Roma - Cintura sud,Direttrici di interesse nazionale,0.0,cdp2022,79
J31H03000190001,A/B,0260,Raddoppio Lunghezza-Guidonia Raddoppio Lunghezza-Guidonia 1^ fase (Lunghezza-Bagni di Tivoli) Raddoppio Lunghezza-Guidonia 2^ fase (Bagni di Tivoli - ,Città metropolitane,395.14,agg2025,68
J31H03000210008,A/B,0277,Potenziamento Seregno-Bergamo Potenziamento Seregno-Bergamo (gronda est di Milano) PROG PROG,Direttrici di interesse nazionale,1000.0,agg2025,78
J31H03000220008,C,,PRG Roma Tiburtina,,112.3,cdp2022,139
J31H03000260001,C,,Rilevamento e mappatura immobili strumen,,0.07,cdp2017,179
J31H03000290001,C,,Sviluppo infrastrutturale e upgrading,,-0.0,agg2025,138
J31H03000300001,C,,Validazione progetti a tecnol. Innov.,,0.16,agg2021,128
J31H03000350001,C,,Studio di fattibilità per la riqualificazione ed il potenziamento delle linee Como-Molteno-Lecco e Monza-Molteno,,0.34,cdp2017,181
J31H03000360001,C,,Migl.Sist.diagn.e gest.dati per Man.Infr,,10.13,cdp2017,179
J31H03000380001,C,,Sistemi Informativi Infrastruttura(SII),,0.2,cdp2017,179
J31H03000400001,C,,"Tecnologie per la sicurezza, la circolazione e l'efficientamento",,-0.0,agg2025,141
J31H03000440001,C,,Studi e sperim. su sistemi innovativi,,3.29,cdp2017,181
J31H03000450001,C,,Sviluppo laboratori e sperimentazioni metodologiche e strumenti di prova,,1.14,agg2021,128
J31H03000460001,A/B,A1007,Piano riqualificazione grandi e medie stazioni,Città metropolitane,0.0,agg2021,27
J31H03000490001,C,,"Tecnologie per la sicurezza, la circolazione e l'efficientamento",,-0.0,agg2025,141
J31H03000510001,A/B,0265,Accesso al Gottardo Raddoppio Laveno-Luino,Direttrici di interesse nazionale,0.0,agg2021,64
J31H03000520001,A/B,0266,Accesso al Gottardo Quadruplicamento Chiasso- Monza Quadruplicamento tratta bivio Rosales-Seregno,Direttrici di interesse nazionale,1412.0,cdp2022,79
J31H03000530001,A/B,0267,Nuovo collegamento Arcisate - Stabio,Valorizzazione reti regionali,0.0,cdp2022,47
J31H04000000001,C,,GSM-R Attrezzaggio Radio in Galleria,,-0.01,agg2021,128
J31H04000100001,C,,POTENZIAMENTO TECNOLOGICO CHIUSI-ROMA LL,,0.42,cdp2017,179
J31H92000020001,C,,Sviluppo infrastrutturale e upgrading,,-0.0,agg2025,138
J31H92000040001,C,,Realiz.Nuovo Coll.Porto-Civit.,,-0.12,agg2021,128
J31H92000050021,C,,"Tecnologie per la sicurezza, la circolazione e l'efficientamento",,-0.0,agg2025,141
J31H92000050101,C,,"Tecnologie per la sicurezza, la circolazione e l'efficientamento",,0.0,agg2025,141
J31H92000050221,C,,Studi e sperimentazioni interdisciplinari,,0.51,agg2021,128
J31H92000050231,C,,Studi e sperimentazioni relativi a sicur,,0.03,agg2021,128
J31H92000050241,C,,Studi e sperimentazioni su standards di,,0.21,agg2021,129
J31H92000050401,C,,Studi e sperim.rilascio del certificato,,0.01,agg2023,38
J31H92000050411,C,,Studi di fattibilità e progettazioni,,-0.0,agg2025,140
J31H93000010011,C,,Soppressione P.L. - Bari,,2.46,cdp2017,177
J31H93000010041,C,,Sicurezza ed Obblighi di Legge,,0.0,agg2025,136
J31H93000010051,C,,Soppressione P.L. - Cagliari,,4.3,cdp2017,177
J31H93000010061,C,,Sicurezza ed Obblighi di Legge,,0.0,agg2025,136
J31H93000010071,C,,Sicurezza ed Obblighi di Legge,,0.0,agg2025,136
J31H93000010081,C,,Soppressione P.L. - Alto Adige,,0.17,cdp2017,177
J31H93000010111,C,,Soppressione P.L. - Palermo,,0.26,cdp2017,177
J31H93000010151,C,,Soppressione P.L. - Ancona,,-0.01,agg2023,37
J31H93000010161,C,,Soppressione P.L. - Palermo,,-0.03,agg2021,127
J31H94000010001,C,,Sviluppo infrastrutturale e upgrading,,-0.0,agg2025,138
J31H95000020001,C,,Impianti industriali e terminali viaggiatori e merci,,0.0,agg2025,139
J31H96000000001,C,,Impianti industriali e terminali viaggiatori e merci,,-0.01,agg2025,139
J31H96000000011,A/B,P260,Potenziamento Capannelle-Ciampino Quadruplicamento Capannelle-Ciampino e PRG Ciampino,Città metropolitane,376.44,agg2025,68
J31H96000000021,A/B,0307A,Roma-Pescara - ulteriore fasi Raddoppio Interporto d'Abruzzo-Chieti-Pescara PROG ITER,Direttrici di interesse nazionale,1183.47,agg2025,78
J31H96000000021,A/B,0307B,Roma-Pescara,Direttrici di interesse nazionale,0.0,agg2021,61
J31H96000000031,A/B,0290,Nuova linea Passo Corese-Rieti Nuova linea Passo Corese-Rieti PROG PROG,Valorizzazione reti regionali,3124.82,agg2025,74
J31H96000010008,C,,Potenziamento tratto urbano linea Roma-Viterbo,,4.51,cdp2017,180
J31H96000020001,C,,Sviluppo infrastrutturale e upgrading,,-0.0,agg2025,138
J31H96000030001,C,,P.R.G. e ACEI Ostiense/Trastevere,,1.05,cdp2017,180
J31H96000050008,C,,Realizzazione nuove fermate ed adeguamento stazioni per il servizio metropolitano di Roma (1^ fase),,0.36,cdp2017,180
J31H96000060008,C,,"Tecnologie per la sicurezza, la circolazione e l'efficientamento",,-0.0,agg2025,141
J31H96000070008,A/B,0049A,Raddoppio Milano-Mortara: 1^ fase Raddoppio Milano S.Cristoforo- Albairate Fermate Porta Romana e Tibaldi Riqualificazione Milano S. Cristoforo-P.ta R,Città metropolitane,564.68,agg2025,68
J31H96000070008,A/B,0049B,Raddoppio Milano-Mortara: 2^ fase Raddoppio Abbiategrasso-Vigevano-Parona PROG PROG Raddoppio Parona-Mortara,Città metropolitane,1542.66,agg2025,75
J31H96000080008,C,,Sviluppo tecnologico del nodo di Roma,,9.9,cdp2022,138
J31H96000110008,C,,Impianti industriali e terminali viaggiatori e merci,,-0.0,agg2025,140
J31H97000000001,C,,PRG Pomezia Santa Palomba,,13.32,agg2024,113
J31H97000010001,C,,Studi di fattibilità asse del Gottardo,,0.37,cdp2017,181
J31H97000020001,C,,Impianti industriali e terminali viaggiatori e merci,,-0.0,agg2025,140
J31H98000000001,C,,"Tecnologie per la sicurezza, la circolazione e l'efficientamento",,-0.0,agg2025,141
J31H98000010001,C,,Messa in sicurezza galleria di Orte,,-0.02,agg2021,128
J31H98000020001,C,,Sistema di Controllo Marcia Treno (SCMT)-Ripetizione discontinua nodo di Roma,,0.51,cdp2017,179
J31H98000030008,A/B,0083,Infrastrutturazione area stazione Tiburtina e nodo di interscambio Stazione AV stazione Tiburtina e infrastrutturazione area,Città metropolitane,322.5,agg2025,54
J31H98000040001,C,,Manutenzione Straordinaria cicli fino al 2011,,0.0,agg2025,132
J31H98000050001,C,,Informazioni al Pubblico Nodo di Roma,,0.39,cdp2017,179
J31H98000060001,C,,Manutenzione Straordinaria cicli fino al 2011,,-0.0,agg2025,132
J31H98000070001,C,,Opere Inf.ne Staz.Ostiense/Nod,,-0.08,agg2021,128
J31H99000010011,C,,"Tecnologie per la sicurezza, la circolazione e l'efficientamento",,0.0,agg2025,141
J31H99000040001,C,,Impianti industriali e terminali viaggiatori e merci,,-0.0,agg2025,140
