documento,pagina,riga,cup,npp,descrizione,costo_mln,data_messa_in_esercizio
cdp2017,177,A00,J51H00000050171,0717,Acq.a rimp.mat.inv.obl.di leg.prod.-FI,0.52,31/12/2016
cdp2017,177,A00,J51H00000050191,0718,Acq.a rimp.mat.inv.obl.di leg.prod.-GE,0.5,31/12/2016
cdp2017,177,A00,J51H00000050231,0714,Acq.a rimp.mat.inv.obl.di leg.prod.-BA,0.38,31/12/2016
cdp2017,177,A00,J51H00000050241,0715,Acq.a rimp.mat.inv.obl.di leg.prod.-BO,0.7,31/12/2016
cdp2017,177,A00,J51H00000050341,0722,Acq.a rimp.mat.inv.obl.di leg.prod.-RC,1.59,31/12/2016
cdp2017,177,A00,J51H00000050351,0721,Acq.a rimp.mat.inv.obl.di leg.prod.-PA,1.08,31/12/2016
cdp2017,177,A00,J51H00000050401,0723,Acq.a rimp.mat.inv.obl.di leg.prod.-RM,0.88,31/12/2016
cdp2017,178,A00,J51H03000110001,1313,Interventi per Sic. e O.L. nei TV (AN),0.15,31/12/2016
cdp2017,178,A00,J51H03000110021,1328,Interventi per Sic. e O.L. nei TV (NV),0.19,31/12/2016
cdp2017,178,A00,J51H03000110241,1323,Interventi per Sic. e O.L. nei TV (RM),0.42,31/12/2016
cdp2017,178,A00,J51H03000110291,1321,Interventi per Sic. e O.L. nei TV (PA),0.15,31/12/2016
cdp2017,178,A00,J51H03000120001,1330,Attr.tec.lin/imp.int.rete-eff.upg (AN),4.3,31/12/2016
cdp2017,178,A00,J51H03000120011,1331,Attr.tec.lin/imp.int.rete-eff.upg (BA),1.2,31/12/2016
cdp2017,178,A00,J51H03000120021,1337,Attrezzaggi tecnologici DTP Torino,5.64,31/12/2016
cdp2017,178,A00,J51H03000120041,1339,Attr.tec.lin/imp.int.rete-eff.upg (VR),2.39,31/12/2016
cdp2017,178,A00,J51H03000120051,1338,Attrezzaggi tecnologici DTP Trieste,4.89,31/12/2016
cdp2017,178,A00,J51H03000120071,1336,Attr.tec.lin/imp.int.rete-eff.upg (RM),5.82,31/12/2016
cdp2017,178,A00,J51H03000120151,1334,Attrezzaggi tecnologici DTP Milano,0.64,31/12/2016
cdp2017,178,A00,J51H03000150001,1369,Acq. rimp. mat.inv. per O.L. e Prod.(AN),0.42,31/12/2016
cdp2017,178,A00,J51H03000150011,1376,Acq. rimp. mat.inv. per O.L. e Prod.(NA),0.11,31/12/2016
cdp2017,178,A00,J51H03000150021,1380,Acq. rimp. mat.inv. per O.L. e Prod.(TO),0.15,31/12/2016
cdp2017,178,A00,J51H03000150031,1383,Acq. rimp. mat.inv. per O.L. e Prod.(VR),0.15,31/12/2016
cdp2017,178,A00,J51H03000150081,1381,Acq. rimp. mat.inv. per O.L. e Prod.(TS),0.13,31/12/2016
cdp2017,178,A00,J51H03000150091,1382,Acq. rimp. mat.inv. per O.L. e Prod.(VE),0.18,31/12/2016
cdp2017,178,A00,J51H03000150111,1377,Acq. rimp. mat.inv. per O.L. e Prod.(PA),0.22,31/12/2016
cdp2017,178,A00,J51H03000150151,1370,Acq. rimp. mat.inv. per O.L. e Prod.(BA),0.27,31/12/2016
cdp2017,178,A00,J51H03000150161,1371,Acq. rimp. mat.inv. per O.L. e Prod.(BO),0.23,31/12/2016
cdp2017,178,A00,J51H03000150171,1375,Acq. rimp. mat.inv. per O.L. e Prod.(MI),0.26,31/12/2016
cdp2017,178,A00,J51H03000150191,1373,Acq. rimp. mat.inv. per O.L. e Prod.(FI),0.12,31/12/2016
cdp2017,178,A00,J51H03000150241,1374,Acq. rimp. mat.inv. per O.L. e Prod.(GE),0.18,31/12/2016
cdp2017,178,A00,J51H92000010031,0652,Aumento Produttività - Potenziamento - Napoli,0.38,31/12/2016
cdp2017,178,A00,J51H92000010041,0651,Aumento Produttività - Potenziamento - Milano,0.01,31/12/2016
cdp2017,178,A00,J51H92000010071,0653,Aumento Produttività - Potenziamento - Reggio Calabria,1.82,31/12/2016
cdp2017,178,A00,J51H92000020001,0601,Aumento Produttività M.E.AN,14.84,31/12/2016
cdp2017,178,A00,J51H92000020011,0610,Aumento Produttività M.E.NA,12.35,31/12/2016
cdp2017,178,A00,J51H92000020021,0609,Aumento Produttività MI,26.61,31/12/2016
cdp2017,178,A00,J51H92000020091,0618,Aumento Produttività TO,18.73,31/12/2016
cdp2017,178,A00,J51H92000020151,0605,Aumento Produttività CA,1.51,31/12/2016
cdp2017,178,A00,J51H92000020161,0613,Aumento Produttività M.E.RM,14.28,31/12/2016
cdp2017,178,A00,J51H92000020231,0619,Aumento Produttività TS,9.04,31/12/2016
cdp2017,178,A00,J51H92000020251,0620,Aumento Produttività VE,13.26,31/12/2016
cdp2017,178,A00,J51H92000020261,0608,Aumento Produttività GE,9.87,31/12/2016
cdp2017,178,A00,J51H92000020271,0611,Aumento Produttività PA,5.96,31/12/2016
cdp2017,178,A00,J51H92000020281,0612,Aumento Produttività M.E.RC,10.59,31/12/2016
cdp2017,178,A00,J51H92000020301,0621,Aumento Produttività VR,13.64,31/12/2016
cdp2017,178,A00,J51H92000020351,0603,"Aumento Produttività Settore ""Armam.""BO",22.36,31/12/2016
cdp2017,178,A00,J51H92000020361,0602,Aumento Produttività M.E.BA,13.51,31/12/2016
cdp2017,178,A00,J51H92000020411,0606,"Aumento Produttività Settore ""Armam.""BO",18.24,31/12/2016
cdp2017,178,A00,J54H14000520001,1334,Attrezzaggi tecnologici DTP Milano,2.58,31/12/2016
cdp2017,178,A00,J57I08000020001,1571,Man. Straord - settore officine,16.2,31/12/2016
cdp2017,178,A00,J57I08000200001,1587,Miglioramento sicurezza gallerie ferroviarie - Territorio Nazionale,0.49,31/12/2016
cdp2017,178,A00,J57I12000090001,1574,Obblighi di Legge su linee AV/AC - Roma,0.5,31/12/2016
cdp2017,178,A00,J67I08000020001,1585,Acquisti a Rimpiazzo materiale d'Inventa,0.33,31/12/2016
cdp2017,178,A00,J67I08000030001,1581,Miglior. Infr. linee AV/AC - Bo,1.4,31/12/2016
cdp2017,178,A00,J67I11000330001,1491,Manut.Straord.Opere Dif.Infr. AV/AC NA,12.69,31/12/2016
cdp2017,178,A00,J71H00000060001,1143,Miglioramenti Infrastrutturali Stazioni-,0.7,31/12/2016
cdp2017,178,A00,J71H00000060011,0585,Infrastrutture di servizio stazioni (NA),1.6,31/12/2016
cdp2017,178,A00,J71H00000060021,0579,Infrastrutture di servizio stazioni (AN),7.7,31/12/2016
cdp2017,178,A00,J71H00000060031,1144,Infrastrutture di servizio stazioni (RC),1.5,31/12/2016
cdp2017,178,A00,J71H00000060051,0584,Infrastrutture di servizio stazioni (MI),4.9,31/12/2016
cdp2017,178,A00,J71H00000060081,0580,Infrastrutture di servizio stazioni (BA),0.06,31/12/2016
cdp2017,178,A00,J71H00000060091,0588,Infrastrutture di servizio stazioni (TO),2.13,31/12/2016
cdp2017,178,A00,J71H00000060101,0589,Miglioramenti Infrastrutturali Stazioni,0.99,31/12/2016
cdp2017,178,A00,J77I09000090001,1553,Manutenzione Mezzi di Manovra,0.1,31/12/2016
cdp2017,178,A00,J77I10000270001,1603,Miglioramento sicurezza gallerie ferroviarie - DTP Ancona,5.14,31/12/2016
cdp2017,178,A00,J87I08000000001,1490,Manut.Straord.Opere Dif.Infr. AV/AC Roma,0.1,31/12/2016
cdp2017,178,A00,J87I08000010001,1493,Miglior. infrastr. su linee AV/AC Roma,1.93,31/12/2016
cdp2017,178,A00,J87I12000230001,1644,Obblighi di Legge - Stazioni,0.79,31/12/2016
cdp2017,178,A00,J91H92000040011,0628,Miglioramento infrastrutturale - DTP Milano,1.04,31/12/2016
cdp2017,178,A00,J91H92000040031,0669,Miglioramenti infrastrutturali - Potenziamento - Napoli,0.22,31/12/2016
cdp2017,178,A00,J91H92000040041,0918,Miglioramenti infrastrutturali Roma-Napoli via Cassino,0.58,31/12/2016
cdp2017,178,A00,J91H92000040101,0622,Miglioramento infrastrutturale - DTP Ancona,1.92,31/12/2016
cdp2017,178,A00,J91H92000040151,0632,Miglioramento infrastrutturale - DTP Torino,0.19,31/12/2016
cdp2017,178,A00,J91H92000040161,0630,Miglioramenti infrastrutturali POT.PA,0.12,31/12/2016
cdp2017,178,A00,J91H92000040171,0671,Miglioramenti infrastrutturali - Potenziamento - Reggio Calabria,0.47,31/12/2016
cdp2017,179,A00,J91H92000040221,0624,Miglioramenti Infrastrutturali POT.BO,3.01,31/12/2016
cdp2017,179,A00,J91H92000040331,0625,Miglioramenti Infrastrutturali CA,0.29,31/12/2016
cdp2017,179,A00,J91H92000040341,0670,Miglioramento infrastrutturale - DTP Palermo,79.93,31/12/2016
cdp2017,179,A00,J91H92000040351,0667,Miglioramenti Infrastrutturali - Verona,0.4,31/12/2016
cdp2017,179,A00,J91H92000040371,0675,Miglioramenti infrastrutturali - Potenziamento - Verona,0.05,31/12/2016
cdp2017,179,A00,J97I12000090001,1343,Miglioramento sicurezza gallerie ferroviarie - DTP Verona,0.29,31/12/2016
cdp2017,179,A00,,C021,Manutenzione Incrementativa,0.07,31/12/2016
cdp2017,179,A02,J11H01000260001,1245,Applicazioni Tecnologiche,32.09,31/12/2016
cdp2017,179,A02,J11H92000010001,0113,Sistemazione Tecnologica Milano-Genova,0.11,31/12/2016
cdp2017,179,A02,J11H98000000001,0065,Rilevamento Termico Boccole,0.47,31/12/2016
cdp2017,179,A02,J11J04000050001,1420,"Sviluppo, implementazione e mantenimento in efficienza sistemi CCL-IaP",7.33,31/12/2016
cdp2017,179,A02,J11J04000070001,1422,Sist Contr Circ Linee e Inf.Pub fase 1,1.79,31/12/2016
cdp2017,179,A02,J11J04000070201,1432,Sist.Contr.Circ.linee e info al pubblico,3.56,31/12/2016
cdp2017,179,A02,J11J05000020001,1426,Rilevatore squilibrio carichi,0.2,31/12/2016
cdp2017,179,A02,J17I06000030001,1486,Attrezz. Tecnol. linee e imp. intera ret,1.54,31/12/2016
cdp2017,179,A02,J17I08000010001,1545,Piano di sviluppo tecnologico della rete,0.17,31/12/2016
cdp2017,179,A02,J30B04000000001,1425,Realiz. compl. ETR500 diagnost. linee AV,2.1,31/12/2016
cdp2017,179,A02,J31H00000140001,1165,Studi e prototipi relativi ad armamento ed opere d'arte,1.2,31/12/2016
cdp2017,179,A02,J31H01000180001,1054,1054-Rete radio GSM-R (1^ fase),0.07,31/12/2016
cdp2017,179,A02,J31H02000090001,1168,Misuratore velocità treno,1.41,31/12/2016
cdp2017,179,A02,J31H03000260001,1156,Rilevamento e mappatura immobili strumen,0.07,31/12/2016
cdp2017,179,A02,J31H03000360001,1329,Migl.Sist.diagn.e gest.dati per Man.Infr,10.13,31/12/2016
cdp2017,179,A02,J31H03000380001,1349,Sistemi Informativi Infrastruttura(SII),0.2,31/12/2016
cdp2017,179,A02,J31H04000100001,1406,POTENZIAMENTO TECNOLOGICO CHIUSI-ROMA LL,0.42,31/12/2016
cdp2017,179,A02,J31H98000020001,0073,Sistema di Controllo Marcia Treno (SCMT)-Ripetizione discontinua nodo di Roma,0.51,31/12/2016
cdp2017,179,A02,J31H98000050001,0151,Informazioni al Pubblico Nodo di Roma,0.39,31/12/2016
cdp2017,179,A02,J51H03000120081,1335,Attrezzaggi tecnologici,0.36,31/12/2016
cdp2017,179,A02,J51H03000120141,1333,Attr.tec.lin/imp.int.rete-eff.upg (FI),0.15,31/12/2016
cdp2017,179,A02,J57E14000010001,1658,Implem. sistemi IT area movimento e,5.1,31/12/2016
cdp2017,179,A02,J57I09000120001,1565,Sviluppo realizz sistemi di diagnostic,9.46,31/12/2016
cdp2017,179,A02,J57I11000570001,1528,Sviluppo tecnologico del Nodo di Milano su Milano C.Le-Malpensa,0.24,31/12/2016
cdp2017,179,A02,J57I12000060001,1658,Implem. sistemi IT area movimento e,3.32,31/12/2016
cdp2017,179,A02,J57I13000310001,1658,Implem. sistemi IT area movimento e,2.55,31/12/2016
cdp2017,179,A02,J59B07000140001,1541,Sistemi Commerciali,0.3,31/12/2016
cdp2017,179,A02,J59B08000180001,1551,Evoluzione Infrastruttura IT,5.77,31/12/2016
cdp2017,179,A02,J59B08000200001,1566,Evoluzione Sistema Prescrizioni MOV,0.97,31/12/2016
cdp2017,179,A02,J59B08000220001,1588,Sistemi di Rete,0.57,31/12/2016
