codice_linea,denominazione,gruppo_traffico,km,treni_giorno_programmati,fonte_dati,pagina_dati,fonte_denominazione,pagina_denominazione
C056,Piacenza - Castelvetro,Linee con <= 40 treni/giorno,24.896,2.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",13,CdP 2022-2026 parte Servizi,28
C057,Treviglio - Olmeneta,Linee con <= 40 treni/giorno,53.745,35.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",13,CdP 2022-2026 parte Servizi,28
C058,Milano P.Genova - Mortara,Linee con > 40 e < 100 treni/giorno,44.381,66.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,CdP 2022-2026 parte Servizi,31
C060,Pavia - Casalpusterlengo,Linee con <= 40 treni/giorno,41.605,24.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",13,CdP 2022-2026 parte Servizi,28
C061,Codogno - Cremona,Linee con > 40 e < 100 treni/giorno,27.33,46.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,CdP 2022-2026 parte Servizi,28
C062,Cremona - Piadena,Linee con > 40 e < 100 treni/giorno,27.956,42.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,CdP 2022-2026 parte Servizi,31
C063,Piadena - Mantova,Linee con <= 40 treni/giorno,34.271,8.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",13,CdP 2022-2026 parte Servizi,31
C064,Brescia - S. Zeno Folzano,Linee con > 40 e < 100 treni/giorno,7.708,64.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,CdP 2022-2026 parte Servizi,31
C065,S. Zeno Folzano - Piadena,Linee con <= 40 treni/giorno,45.743,31.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",13,CdP 2022-2026 parte Servizi,28
C066,Piadena - Parma,Linee con <= 40 treni/giorno,39.738,33.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",13,CdP 2022-2026 parte Servizi,28
C067,Fortezza - S.Candido,Linee con > 40 e < 100 treni/giorno,64.509,56.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,CdP 2022-2026 parte Servizi,31
C068,Bolzano - Merano,Linee con > 40 e < 100 treni/giorno,31.12,54.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,CdP 2022-2026 parte Servizi,31
C069,Vicenza - Schio,Linee con <= 40 treni/giorno,29.691,29.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",13,CdP 2022-2026 parte Servizi,28
C070,Verona - Mantova,Linee con <= 40 treni/giorno,35.437,30.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",13,CdP 2022-2026 parte Servizi,31
C071,Mantova - Suzzara,Linee con <= 40 treni/giorno,18.929,35.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",13,CdP 2022-2026 parte Servizi,28
C072,Suzzara - Modena,Linee con <= 40 treni/giorno,49.009,37.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",13,CdP 2022-2026 parte Servizi,28
C073,Mantova - Nogara,Linee con <= 40 treni/giorno,26.195,18.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",13,CdP 2022-2026 parte Servizi,28
C074,Nogara - Cerea,Linee con <= 40 treni/giorno,12.34,16.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",13,CdP 2022-2026 parte Servizi,28
C075,Cerea - Legnago,Linee con <= 40 treni/giorno,7.356,36.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",13,CdP 2022-2026 parte Servizi,28
C076,Calalzo Pc.Cortina - Ponte delle Alpi,Linee con <= 40 treni/giorno,36.238,10.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",13,CdP 2022-2026 parte Servizi,28
C077,Ponte delle Alpi - Belluno,Linee con <= 40 treni/giorno,7.622,33.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",13,CdP 2022-2026 parte Servizi,28
C078,Belluno - Montebelluna,Linee con <= 40 treni/giorno,65.029,14.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",13,CdP 2022-2026 parte Servizi,28
C079,Montebelluna - Castelfranco Veneto,Linee con <= 40 treni/giorno,16.315,27.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",13,CdP 2022-2026 parte Servizi,28
C080,Castelfranco Veneto - Camposampiero,Linee con > 40 e < 100 treni/giorno,12.057,72.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,CdP 2022-2026 parte Servizi,31
C081,Camposampiero - Vigodarzere,Linee con > 40 e < 100 treni/giorno,13.227,91.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,CdP 2022-2026 parte Servizi,31
C082,Vigodarzere - Padova,Linee con > 40 e < 100 treni/giorno,7.392,63.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,CdP 2022-2026 parte Servizi,31
C083,Montebelluna - Treviso,Linee con <= 40 treni/giorno,20.064,17.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",13,CdP 2022-2026 parte Servizi,28
C084,Treviso  - Portogruaro,Linee con <= 40 treni/giorno,52.464,38.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",13,CdP 2022-2026 parte Servizi,28
C085,Ponte delle Alpi - Conegliano,Linee con <= 40 treni/giorno,38.064,24.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",13,CdP 2022-2026 parte Servizi,28
C086,Vicenza - Cittadella,Linee con > 40 e < 100 treni/giorno,23.666,56.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,CdP 2022-2026 parte Servizi,31
C087,Cittadella - Castelfranco Veneto,Linee con > 40 e < 100 treni/giorno,11.865,53.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,CdP 2022-2026 parte Servizi,31
C088,Castelfranco Veneto - Treviso,Linee con > 40 e < 100 treni/giorno,24.529,92.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,CdP 2022-2026 parte Servizi,31
C089,Bassano del Grappa - Cittadella,Linee con <= 40 treni/giorno,14.618,24.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",13,CdP 2022-2026 parte Servizi,28
C090,Cittadella - Camposampiero,Linee con <= 40 treni/giorno,14.497,20.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",13,CdP 2022-2026 parte Servizi,28
C091,Bassano del Grappa - Castelfranco Veneto,Linee con > 40 e < 100 treni/giorno,19.148,56.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,CdP 2022-2026 parte Servizi,31
C092,Castelfranco Veneto - Maerne di Martellago,Linee con > 40 e < 100 treni/giorno,24.636,56.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,CdP 2022-2026 parte Servizi,31
C093,S.Giuseppe Di C. - Savona,Linee con <= 40 treni/giorno,23.268,21.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",13,CdP 2022-2026 parte Servizi,28
C094,Udine - Palmanova,Linee con <= 40 treni/giorno,23.151,22.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",13,CdP 2022-2026 parte Servizi,28
C095,Palmanova - Cervignano,Linee con <= 40 treni/giorno,15.084,20.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",13,CdP 2022-2026 parte Servizi,28
C096,S.Giuseppe Di C. - Ferrania,Linee con <= 40 treni/giorno,3.624,17.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",13,CdP 2022-2026 parte Servizi,28
C097,Ferrania - Savona,Linee con <= 40 treni/giorno,16.669,17.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",13,CdP 2022-2026 parte Servizi,28
C098,Ovada - Genova Borzoli,Linee con <= 40 treni/giorno,36.014,33.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",13,CdP 2022-2026 parte Servizi,28
C099,Ferrara - Portomaggiore,Linee con <= 40 treni/giorno,23.413,33.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",13,CdP 2022-2026 parte Servizi,28
C100,Portomaggiore - Lavezzola,Linee con <= 40 treni/giorno,17.211,33.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",13,CdP 2022-2026 parte Servizi,28
C101,Lavezzola - Ravenna,Linee con <= 40 treni/giorno,31.996,33.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",13,CdP 2022-2026 parte Servizi,28
C102,Ravenna - Rimini,Linee con <= 40 treni/giorno,49.84,39.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",13,CdP 2022-2026 parte Servizi,28
C103,Faenza - Granarolo,Linee con <= 40 treni/giorno,8.915,30.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",13,CdP 2022-2026 parte Servizi,28
C104,Granarolo - Lugo,Linee con <= 40 treni/giorno,7.621,2.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",13,CdP 2022-2026 parte Servizi,28
C105,Lugo - Lavezzola,Linee con <= 40 treni/giorno,22.196,2.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",13,CdP 2022-2026 parte Servizi,28
C106,Castelbolognese - Lugo,Linee con > 40 e < 100 treni/giorno,13.968,48.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,CdP 2022-2026 parte Servizi,31
C107,Lugo - Russi,Linee con > 40 e < 100 treni/giorno,10.768,47.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,CdP 2022-2026 parte Servizi,31
C108,Russi - Ravenna,Linee con <= 40 treni/giorno,32.714,36.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",13,CdP 2022-2026 parte Servizi,28
C109,Granarolo - Russi,Linee con <= 40 treni/giorno,8.137,27.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",13,CdP 2022-2026 parte Servizi,28
C110,Pontassieve - Borgo S.Lorenzo,Linee con <= 40 treni/giorno,32.683,31.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",13,CdP 2022-2026 parte Servizi,28
C111,Borgo S.Lorenzo - Faenza,Linee con <= 40 treni/giorno,66.334,8.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",13,CdP 2022-2026 parte Servizi,28
C112,Firenze S. Marco V. - Borgo S.Lorenzo,Linee con <= 40 treni/giorno,31.971,35.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",13,CdP 2022-2026 parte Servizi,28
C113,Viareggio - Lucca,Linee con > 40 e < 100 treni/giorno,16.6,45.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,CdP 2022-2026 parte Servizi,31
C115,Porretta Terme - Pistoia,Linee con <= 40 treni/giorno,39.794,12.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",13,CdP 2022-2026 parte Servizi,28
